sentence,Type of violence,Type of aggressive communication,Description
Il mio ragazzo mi dice che sono una troia perché pubblico foto in bikini.,"Cyber Stalking, monitoraggio e controllo","Parolacce, Ridicolizzazione/derisione","Questa frase è un esempio di Cyber stalking in quanto l’insultare ed il deridere per aver pubblicato una foto in bikini, è un chiaro esempio di controllo all’interno della relazione"
Il mio ragazzo dice che le donne non servono a niente.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto mira a ridicolizzare e sminuire un intero gruppo di persone
"Quando mi commuovo, la mia ragazza ride di me.",Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto mira a ridicolizzare e sminuire la persona e le sue emozioni
"Guarda, quella è una puttana, l'altro giorno ha pubblicato una foto in bikini anche se è fidanzata. Non farti foto con quella schifosa.","Stalking, monitoraggio e controllo","Parolacce, Ridicolizzazione/derisione, Attacchi","Questa frase è un esempio di monitoraggio e controllo attraverso una comunicazione aggressiva, in quanto la persona viene insultata e ridicolizzata per la pubblicazione di foto e rappresenta un attacco alla persona forzando un comportamento"
"Ogni volta che qualcosa si rompe la lascio fare a mio marito, è il suo lavoro.",Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto mira a ridicolizzare indirettamente i ruoli di genere
Mi dice come devo vestirmi quando usciamo.,"Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di controllo attraverso una comunicazione aggressiva che mira ad attaccare la libertà personale imponendo un modo di vestire
Perchè sei online e non mi rispondi?,"Cyber Stalking, monitoraggio e controllo",Attacchi,"Questa frase è un esempio di Cyber Stalking in quanto attraverso una comunicazione aggressiva, attacca la disponibilità e la priorità della persona nel rispondere"
Non farti fotografare con quella schifosa.,Violenza/Aggressività psicologica,Attacchi,Questa frase è un esempio di violenza psicologica in quanto è una frase denigratoria ed offensiva che attacca la dignità della persona
Il mio ragazzo non sa fare le pulizie.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,"Questa frase è un esempio di violenza psicologica in quanto attraverso una comunicazione aggressiva, ridicolizza le capacità di una persona in un determinato ambito"
Sono le donne che devono gestire la casa.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto mira a ridicolizzare indirettamente i ruoli di genere
Lo faccio innervosire e per questo qualche volta mi spinge o mi afferra forte.,Violenza fisica,Attacchi,La frase giustifica un comportamento aggressivo in risposta al nervosismo indotto
"Anche se dico di no, lui dice che lo voglio e che devo lasciarmi scopare.",Violenza sessuale,Attacchi,Questa frase rappresenta una forma di violenza sessuale subita in quanto riferisce un attacco alla persona contro la sua volontà
"Non uscire con le tue amiche, sono delle troie.","Stalking, monitoraggio e controllo, Violenza/Aggressività psicologica","Parolacce, Ridicolizzazione/derisione, Attacchi",Questa frase è un esempio di controllo e violenza psicologica in quanto insulta e ridicolizza le amiche della persona imponendo un comportamento
Tu non sei niente senza di me.,Violenza/Aggressività psicologica,Minaccia,"Questa frase è un esempio di violenza psicologica in quanto l’ interlocutore utilizza una minaccia implicita, suggerendo che la persona perderebbe valore se si allontanasse."
Quanto tempo ci metti a rispondermi? È meglio non parlare con te.,"cyber Stalking, monitoraggio e controllo",Minaccia,Questa frase è una forma di cyber monitoraggio e controllo in quanto c’è un controllo del comportamentale ed una minaccia implicita dell’interrompere la comunicazione a causa del tempo di risposta
Non voglio che esci con i tuoi amici.,"Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di controllo volta ad attaccare la libertà personale
"Se esci, devi tornare alla stessa ora in cui torno io.","Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di controllo volta ad attaccare la libertà personale
Le foto che pubblichi sono provocanti.,"Cyber Stalking, monitoraggio e controllo",Ridicolizzazione/derisione,Questa frase è un esempio di cyber controllo del comportamento della persona che mira ad una ridicolizzazione delle scelte della persona
Gli spiego come stanno le cose e lui mi dà ragione come si fa con i matti.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica volta a ridicolizzare il comportamento della persona paragonandola ad una categoria stigmatizzata
"Quando il mio amico è con la sua ragazza, è triste, non è lui.",Violenza/Aggressività psicologica,Nessuna,"Questa frase è un esempio di violenza psicologica riportata da terzi, che inferisce sulle emozioni della persona"
"Ogni volta che esco, mi chiede continuamente dove sono e con chi sono.","Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di cyber stalking in quanto allude ad un controllo comportamentale attaccando la libertà personale
